,0,1,2,3,4,5
310,,153.0,145.0,177.0,258.0,955.0
311,,152.0,148.0,175.0,267.0,895.0
312,,152.0,151.0,173.0,279.0,906.0
313,,153.0,151.0,178.0,262.0,933.0
314,,153.0,152.0,179.0,271.0,938.0
315,,159.0,157.0,176.0,270.0,919.0
316,,152.0,147.0,181.0,275.0,908.0
317,,151.0,154.0,180.0,278.0,896.0
318,,156.0,150.0,178.0,258.0,908.0
319,,153.0,149.0,175.0,259.0,936.0
320,,151.0,151.0,175.0,265.0,896.0
321,,149.0,153.0,182.0,270.0,912.0
322,,152.0,153.0,184.0,284.0,933.0
323,,158.0,158.0,185.0,276.0,894.0
324,,157.0,157.0,181.0,278.0,897.0
325,,156.0,149.0,174.0,281.0,924.0
326,,157.0,152.0,174.0,277.0,938.0
327,,153.0,156.0,188.0,272.0,925.0
328,,152.0,163.0,174.0,274.0,928.0
329,,154.0,156.0,180.0,281.0,864.0
330,,159.0,151.0,177.0,264.0,915.0
331,,158.0,157.0,177.0,273.0,937.0
332,,152.0,155.0,179.0,277.0,939.0
333,,155.0,149.0,173.0,273.0,898.0
334,,158.0,153.0,178.0,268.0,911.0
335,,156.0,153.0,187.0,273.0,916.0
336,,146.0,155.0,179.0,269.0,899.0
337,,152.0,152.0,180.0,271.0,905.0
338,,158.0,158.0,174.0,272.0,899.0
339,,156.0,147.0,177.0,270.0,924.0
340,,154.0,155.0,175.0,280.0,885.0
341,,155.0,159.0,176.0,265.0,926.0
342,,155.0,160.0,173.0,268.0,908.0
343,,157.0,153.0,177.0,267.0,898.0
344,,153.0,155.0,179.0,281.0,893.0
345,,160.0,158.0,174.0,270.0,907.0
346,,151.0,151.0,169.0,264.0,921.0
347,,155.0,158.0,171.0,260.0,948.0
348,,155.0,159.0,171.0,278.0,906.0
349,,154.0,154.0,178.0,253.0,897.0
350,,155.0,156.0,172.0,265.0,912.0
351,,150.0,159.0,176.0,266.0,890.0
352,,151.0,157.0,175.0,263.0,933.0
353,,152.0,152.0,177.0,272.0,902.0
354,,155.0,159.0,175.0,266.0,922.0
355,,148.0,152.0,180.0,262.0,901.0
356,,153.0,151.0,178.0,261.0,880.0
357,,153.0,153.0,179.0,253.0,864.0
358,,154.0,154.0,175.0,262.0,889.0
359,,152.0,149.0,176.0,266.0,938.0
360,,150.0,152.0,182.0,258.0,910.0
361,,152.0,158.0,178.0,262.0,870.0
362,,152.0,158.0,175.0,261.0,895.0
363,,153.0,154.0,184.0,253.0,885.0
364,,155.0,159.0,176.0,261.0,900.0
365,,148.0,161.0,181.0,259.0,941.0
366,,151.0,159.0,179.0,263.0,934.0
367,,152.0,156.0,172.0,259.0,909.0
368,,152.0,153.0,178.0,262.0,892.0
369,,161.0,154.0,172.0,254.0,941.0
370,,149.0,148.0,182.0,256.0,908.0
371,,153.0,151.0,176.0,254.0,903.0
372,,155.0,150.0,174.0,255.0,883.0
373,,157.0,150.0,173.0,260.0,900.0
374,,151.0,150.0,170.0,262.0,959.0
375,,155.0,157.0,174.0,250.0,908.0
376,,148.0,159.0,174.0,257.0,890.0
377,,159.0,152.0,184.0,258.0,911.0
378,,154.0,155.0,180.0,246.0,928.0
379,,153.0,159.0,181.0,254.0,909.0
380,,159.0,155.0,180.0,249.0,922.0
381,,155.0,150.0,176.0,247.0,929.0
