,0,1,2,3,4,5
242,,16.0,14.0,39.0,31.0,100.0
243,,15.0,15.0,32.0,27.0,100.0
244,,15.0,15.0,39.0,32.0,99.0
245,,15.0,14.0,36.0,33.0,100.0
246,,14.0,16.0,37.0,27.0,100.0
247,,14.0,16.0,32.0,28.0,100.0
248,,15.0,14.0,34.0,34.0,100.0
249,,14.0,15.0,31.0,31.0,100.0
250,,14.0,15.0,38.0,28.0,100.0
251,,14.0,14.0,37.0,28.0,100.0
252,,15.0,16.0,34.0,30.0,100.0
253,,14.0,15.0,41.0,34.0,98.0
254,,15.0,15.0,37.0,27.0,99.0
255,,13.0,16.0,37.0,26.0,100.0
256,,14.0,14.0,35.0,33.0,100.0
257,,14.0,15.0,37.0,30.0,100.0
258,,14.0,15.0,34.0,29.0,100.0
259,,15.0,16.0,35.0,35.0,100.0
260,,15.0,14.0,37.0,29.0,100.0
261,,14.0,15.0,38.0,30.0,100.0
262,,14.0,14.0,32.0,32.0,100.0
263,,15.0,13.0,33.0,29.0,100.0
264,,15.0,13.0,34.0,30.0,100.0
265,,16.0,14.0,33.0,27.0,100.0
266,,15.0,14.0,35.0,30.0,100.0
267,,15.0,14.0,34.0,28.0,100.0
268,,14.0,14.0,35.0,30.0,99.0
269,,15.0,14.0,31.0,31.0,99.0
270,,15.0,13.0,36.0,28.0,100.0
271,,15.0,14.0,34.0,35.0,100.0
272,,14.0,15.0,35.0,27.0,100.0
273,,14.0,14.0,35.0,32.0,100.0
274,,16.0,15.0,35.0,31.0,100.0
275,,15.0,15.0,33.0,33.0,100.0
276,,15.0,15.0,34.0,23.0,100.0
277,,15.0,15.0,35.0,28.0,100.0
278,,15.0,15.0,36.0,27.0,100.0
279,,16.0,16.0,36.0,27.0,99.0
280,,14.0,14.0,31.0,26.0,100.0
281,,14.0,14.0,36.0,26.0,100.0
282,,14.0,14.0,33.0,25.0,100.0
283,,15.0,15.0,34.0,28.0,99.0
284,,16.0,14.0,32.0,28.0,100.0
285,,16.0,14.0,34.0,29.0,100.0
286,,16.0,14.0,39.0,25.0,100.0
287,,15.0,16.0,34.0,23.0,100.0
288,,16.0,15.0,41.0,28.0,100.0
289,,15.0,15.0,32.0,26.0,100.0
290,,14.0,15.0,35.0,26.0,100.0
291,,15.0,14.0,33.0,22.0,100.0
292,,15.0,15.0,36.0,31.0,99.0
293,,15.0,16.0,35.0,26.0,97.0
294,,15.0,14.0,33.0,28.0,100.0
295,,17.0,16.0,38.0,23.0,100.0
296,,15.0,15.0,35.0,25.0,100.0
297,,14.0,14.0,33.0,26.0,100.0
298,,16.0,15.0,30.0,25.0,99.0
299,,15.0,16.0,33.0,23.0,100.0
300,,15.0,15.0,34.0,24.0,100.0
301,,16.0,15.0,37.0,26.0,100.0
302,,14.0,15.0,36.0,24.0,100.0
303,,16.0,15.0,38.0,24.0,100.0
304,,14.0,18.0,33.0,27.0,99.0
305,,14.0,16.0,38.0,26.0,98.0
306,,15.0,16.0,37.0,25.0,99.0
307,,15.0,16.0,34.0,27.0,100.0
308,,16.0,18.0,36.0,26.0,100.0
309,,15.0,17.0,35.0,21.0,100.0
310,,17.0,14.0,32.0,24.0,100.0
311,,15.0,17.0,36.0,23.0,100.0
312,,14.0,16.0,35.0,20.0,100.0
313,,18.0,16.0,32.0,21.0,100.0
314,,16.0,16.0,37.0,24.0,100.0
315,,15.0,15.0,32.0,24.0,100.0
316,,15.0,15.0,36.0,23.0,100.0
317,,15.0,16.0,35.0,26.0,100.0
318,,16.0,15.0,35.0,23.0,99.0
319,,17.0,14.0,32.0,23.0,100.0
320,,16.0,16.0,36.0,23.0,100.0
321,,15.0,16.0,39.0,23.0,100.0
322,,16.0,15.0,36.0,22.0,100.0
323,,17.0,15.0,39.0,22.0,99.0
324,,17.0,16.0,35.0,26.0,100.0
325,,15.0,16.0,36.0,24.0,100.0
326,,19.0,16.0,38.0,25.0,100.0
327,,18.0,17.0,36.0,22.0,99.0
328,,19.0,17.0,33.0,24.0,100.0
329,,17.0,17.0,35.0,26.0,100.0
330,,17.0,17.0,33.0,22.0,100.0
331,,18.0,14.0,35.0,20.0,100.0
332,,19.0,16.0,36.0,29.0,100.0
333,,18.0,15.0,36.0,22.0,100.0
334,,18.0,15.0,38.0,23.0,100.0
335,,19.0,15.0,36.0,21.0,99.0
336,,17.0,16.0,40.0,24.0,99.0
337,,19.0,15.0,35.0,24.0,100.0
338,,17.0,14.0,36.0,25.0,100.0
339,,16.0,16.0,38.0,25.0,100.0
340,,16.0,16.0,35.0,23.0,100.0
341,,16.0,16.0,36.0,23.0,100.0
342,,13.0,14.0,32.0,19.0,100.0
343,,15.0,14.0,34.0,21.0,100.0
344,,14.0,15.0,39.0,21.0,99.0
345,,15.0,14.0,37.0,24.0,99.0
346,,15.0,15.0,37.0,22.0,100.0
347,,15.0,14.0,37.0,24.0,99.0
348,,16.0,15.0,37.0,25.0,100.0
349,,15.0,17.0,35.0,21.0,100.0
350,,15.0,16.0,35.0,24.0,100.0
351,,13.0,17.0,38.0,22.0,100.0
352,,15.0,14.0,35.0,26.0,100.0
353,,14.0,14.0,37.0,19.0,100.0
354,,14.0,17.0,34.0,22.0,99.0
355,,14.0,16.0,38.0,22.0,100.0
356,,15.0,15.0,30.0,19.0,99.0
357,,16.0,15.0,37.0,23.0,99.0
358,,17.0,14.0,35.0,21.0,99.0
359,,17.0,14.0,33.0,23.0,99.0
360,,17.0,14.0,35.0,22.0,100.0
361,,17.0,14.0,39.0,24.0,100.0
362,,16.0,16.0,33.0,19.0,100.0
363,,17.0,17.0,36.0,24.0,99.0
364,,17.0,16.0,37.0,22.0,100.0
365,,18.0,15.0,31.0,22.0,100.0
366,,17.0,16.0,37.0,21.0,100.0
367,,18.0,16.0,33.0,24.0,98.0
368,,17.0,15.0,34.0,21.0,100.0
369,,16.0,16.0,37.0,20.0,100.0
370,,18.0,16.0,33.0,21.0,100.0
371,,17.0,16.0,38.0,20.0,100.0
372,,16.0,16.0,37.0,23.0,100.0
373,,16.0,15.0,35.0,23.0,100.0
